Date,Cases,Deaths
0,0,0
1,0,0
2,0,0
3,1,0
4,0,0
5,1,0
6,1,0
7,0,0
8,0,0
9,2,0
10,5,0
11,11,0
12,10,0
13,7,0
14,5,0
15,5,0
16,8,0
17,16,0
18,20,0
19,19,0
20,20,0
21,22,0
22,31,0
23,38,0
24,37,0
25,41,0
26,77,0
27,25,0
28,48,0
29,98,0
30,85,0
31,50,0
32,97,0
33,52,0
34,80,0
35,53,0
36,110,0
37,72,0
38,85,0
39,63,0
40,73,0
41,62,0
42,37,0
43,89,0
44,86,0
45,81,0
46,52,0
47,111,0
48,44,0
49,71,0
50,65,0
51,89,0
52,76,0
53,61,0
54,117,0
55,51,0
56,52,0
57,73,0
58,68,0
59,87,0
60,105,0
61,75,0
62,46,0
63,44,0
64,41,0
65,133,0
66,74,0
67,56,0
68,34,0
69,82,0
70,30,0
71,31,0
72,69,0
73,49,0
74,35,0
75,44,0
76,24,0
77,11,0
78,17,0
79,21,0
80,26,0
81,35,0
82,24,0
83,11,0
84,16,0
85,6,0
86,18,0
87,18,0
